start   of      data    file.
siteNameHF-751-02              Edited to fix time AF 131209
Probe   serial  Number:        0

Date    Meas#   T1(B)   T2      T3      T4      T5(T)   H
-------------------------------------------------------------------
04:40:01       1   1.817   1.866   1.883   1.857   1.906   0.000
04:40:03       2   1.817   1.866   1.883   1.857   1.906   0.000
04:40:05       3   1.817   1.866   1.883   1.857   1.906   0.000
04:40:07       4   1.817   1.866   1.883   1.857   1.906   0.000
04:40:09       5   1.817   1.866   1.883   1.857   1.906   0.000
04:40:11       6   1.817   1.866   1.883   1.857   1.906   0.000
04:40:13       7   1.817   1.866   1.883   1.857   1.906   0.000
04:40:15       8   1.817   1.866   1.883   1.857   1.906   0.000
04:40:17       9   1.817   1.866   1.883   1.857   1.906   0.000
04:40:19      10   1.817   1.867   1.883   1.857   1.906   0.000
04:40:21      11   1.817   1.866   1.883   1.857   1.906   0.000
04:40:23      12   1.817   1.865   1.883   1.857   1.906   0.000
04:40:25      13   1.817   1.866   1.883   1.857   1.906   0.000
04:40:27      14   1.817   1.866   1.883   1.857   1.906   0.000
04:40:29      15   1.817   1.866   1.883   1.857   1.906   0.000
04:40:31      16   1.817   1.866   1.883   1.857   1.906   0.000
04:40:33      17   1.817   1.866   1.883   1.857   1.906   0.000
04:40:35      18   1.816   1.866   1.883   1.857   1.906   0.000
04:40:37      19   1.817   1.866   1.883   1.857   1.906   0.000
04:40:39      20   1.817   1.866   1.883   1.857   1.906   0.000
04:40:41      21   1.817   1.866   1.884   1.856   1.905   0.000
04:40:43      22   1.817   1.867   1.884   1.855   1.905   0.000
04:40:45      23   1.817   1.867   1.883   1.855   1.905   0.000
04:40:47      24   1.816   1.866   1.883   1.856   1.906   0.000
04:40:49      25   1.816   1.867   1.882   1.857   1.906   0.000
04:40:51      26   1.816   1.865   1.883   1.857   1.908   0.000
04:40:53      27   1.816   1.865   1.883   1.857   1.908   0.000
04:40:55      28   1.816   1.865   1.883   1.857   1.906   0.000
04:40:57      29   1.817   1.865   1.883   1.857   1.907   0.000
04:40:59      30   1.819   1.867   1.883   1.857   1.906   0.000
04:41:01      31   1.822   1.867   1.883   1.857   1.906   0.000
04:41:03      32   1.825   1.868   1.883   1.857   1.906   0.000
04:41:05      33   1.828   1.868   1.884   1.857   1.906   0.000
04:41:07      34   1.831   1.869   1.884   1.857   1.906   0.000
04:41:09      35   1.832   1.870   1.884   1.857   1.906   0.000
04:41:11      36   1.833   1.870   1.884   1.857   1.906   0.000
04:41:13      37   1.834   1.870   1.884   1.857   1.906   0.000
04:41:15      38   1.834   1.870   1.884   1.857   1.906   0.000
04:41:17      39   1.834   1.870   1.884   1.857   1.906   0.000
04:41:19      40   1.835   1.871   1.883   1.857   1.906   0.000
04:41:21      41   1.835   1.870   1.884   1.857   1.906   0.000
04:41:23      42   1.835   1.871   1.884   1.857   1.906   0.000
04:41:25      43   1.835   1.871   1.884   1.857   1.906   0.000
04:41:27      44   1.835   1.871   1.884   1.857   1.906   0.000
04:41:29      45   1.835   1.871   1.884   1.857   1.906   0.000
04:41:31      46   1.835   1.871   1.884   1.857   1.906   0.000
04:41:33      47   1.835   1.881   1.885   1.857   1.905   0.000
04:41:35      48   1.837   1.889   1.885   1.857   1.905   0.000
04:41:37      49   1.839   1.893   1.886   1.858   1.905   0.000
04:41:39      50   1.846   1.895   1.891   1.860   1.906   0.000
04:41:41      51   1.857   1.898   1.903   1.859   1.907   0.000
04:41:43      52   1.865   1.901   1.914   1.860   1.907   0.000
04:41:45      53   1.874   1.906   1.926   1.881   1.909   0.000
04:41:47      54   1.883   1.916   1.942   1.881   1.944   0.000
04:41:49      55   1.892   1.925   1.952   1.883   1.945   0.000
04:41:51      56   1.905   1.937   1.966   1.893   1.946   0.000
04:41:53      57   1.923   1.952   1.977   1.907   1.948   0.000
04:41:55      58   1.937   1.961   1.982   1.915   1.949   0.000
04:41:57      59   1.950   1.970   1.987   1.923   1.951   0.000
04:41:59      60   1.959   1.976   1.989   1.928   1.953   0.000
04:42:01      61   1.962   1.980   1.990   1.931   1.954   0.000
04:42:03      62   1.964   1.981   1.990   1.934   1.954   0.000
04:42:05      63   1.963   1.982   1.988   1.934   1.955   0.000
04:42:07      64   1.962   1.982   1.987   1.934   1.955   0.000
04:42:09      65   1.959   1.981   1.985   1.934   1.955   0.000
04:42:11      66   1.956   1.979   1.982   1.933   1.955   0.000
04:42:13      67   1.952   1.977   1.980   1.932   1.954   0.000
04:42:15      68   1.949   1.975   1.978   1.931   1.954   0.000
04:42:17      69   1.945   1.972   1.976   1.930   1.954   0.000
04:42:19      70   1.941   1.970   1.974   1.928   1.953   0.000
04:42:21      71   1.937   1.968   1.971   1.927   1.953   0.000
04:42:23      72   1.934   1.965   1.969   1.925   1.952   0.000
04:42:25      73   1.930   1.963   1.966   1.924   1.951   0.000
04:42:27      74   1.927   1.961   1.965   1.922   1.950   0.000
04:42:29      75   1.924   1.959   1.963   1.921   1.950   0.000
04:42:31      76   1.920   1.956   1.961   1.919   1.949   0.000
04:42:33      77   1.918   1.954   1.959   1.918   1.948   0.000
04:42:35      78   1.915   1.952   1.957   1.917   1.947   0.000
04:42:37      79   1.912   1.950   1.956   1.916   1.947   0.000
04:42:39      80   1.910   1.949   1.954   1.915   1.946   0.000
04:42:41      81   1.908   1.947   1.953   1.913   1.946   0.000
