start   of      data    file.
siteNameHF-751-cal          Edited to fix time AF 131209
Probe   serial  Number:        0

Date    Meas#   T1(B)   T2      T3      T4      T5(T)   H
-------------------------------------------------------------------
 4:33:43       1   1.816   1.869   1.886   1.859   1.909   0.000
 4:33:45       2   1.816   1.869   1.886   1.860   1.909   0.000
 4:33:47       3   1.817   1.870   1.887   1.859   1.909   0.000
 4:33:49       4   1.817   1.870   1.887   1.859   1.909   0.000
 4:33:51       5   1.816   1.869   1.886   1.859   1.909   0.000
 4:33:53       6   1.816   1.869   1.886   1.859   1.909   0.000
 4:33:55       7   1.817   1.870   1.886   1.859   1.909   0.000
 4:33:57       8   1.816   1.869   1.886   1.860   1.909   0.000
 4:33:59       9   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:01      10   1.817   1.869   1.886   1.860   1.909   0.000
 4:34:03      11   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:05      12   1.817   1.869   1.886   1.859   1.909   0.000
 4:34:07      13   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:09      14   1.817   1.870   1.886   1.860   1.909   0.000
 4:34:11      15   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:13      16   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:15      17   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:17      18   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:19      19   1.817   1.870   1.886   1.859   1.909   0.000
 4:34:21      20   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:23      21   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:25      22   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:27      23   1.817   1.870   1.887   1.859   1.909   0.000
 4:34:29      24   1.817   1.870   1.886   1.860   1.909   0.000
 4:34:31      25   1.817   1.870   1.886   1.860   1.909   0.000
 4:34:33      26   1.817   1.871   1.887   1.860   1.909   0.000
 4:34:35      27   1.818   1.871   1.887   1.860   1.909   0.000
 4:34:37      28   1.817   1.871   1.887   1.860   1.909   0.000
 4:34:39      29   1.817   1.871   1.887   1.860   1.909   0.000
 4:34:41      30   1.817   1.871   1.887   1.860   1.909   0.000
 4:34:43      31   1.817   1.871   1.887   1.860   1.909   0.000
 4:34:45      32   1.817   1.870   1.887   1.860   1.909   0.000
 4:34:47      33   1.817   1.870   1.887   1.860   1.909   0.000
 4:34:49      34   1.817   1.870   1.887   1.860   1.909   0.000
 4:34:51      35   1.817   1.870   1.887   1.860   1.909   0.000
 4:34:53      36   1.817   1.870   1.887   1.860   1.910   0.000
 4:34:55      37   1.817   1.870   1.887   1.860   1.909   0.000
 4:34:57      38   1.817   1.870   1.887   1.860   1.909   0.000
 4:34:59      39   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:01      40   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:03      41   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:05      42   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:07      43   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:09      44   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:11      45   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:13      46   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:15      47   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:17      48   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:19      49   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:21      50   1.817   1.870   1.886   1.860   1.909   0.000
 4:35:23      51   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:25      52   1.817   1.870   1.887   1.860   1.910   0.000
 4:35:27      53   1.817   1.870   1.887   1.860   1.909   0.000
 4:35:29      54   1.817   1.871   1.887   1.860   1.909   0.000
